# x_m, y_m, vx_mps, delta_rad
# x_m, y_m, vx_mps, delta_rad
-0.4797810, -0.0904461, 2.0491308, -0.1557365
-0.6762312, -0.1236612, 2.0929597, -0.1586663
-0.8738185, -0.1377488, 2.1401038, -0.1604124
-1.0720513, -0.1326338, 2.1928699, -0.1583012
-1.2689755, -0.1085766, 2.2491540, -0.1533576
-1.4627204, -0.0663885, 2.3064104, -0.1470178
-1.6520731, -0.0071311, 2.3633102, -0.1392394
-1.8356634, 0.0677998, 2.4174232, -0.1314461
-2.0131664, 0.1573005, 2.4696366, -0.1237328
-2.1828480, 0.2594408, 2.5147505, -0.1169376
-2.3453176, 0.3735852, 2.5569925, -0.1107990
-2.4998280, 0.4983793, 2.5946770, -0.1055737
-2.6457920, 0.6325007, 2.6278809, -0.1012594
-2.7837943, 0.7758172, 2.6592851, -0.0976171
-2.9125805, 0.9263891, 2.6876504, -0.0947452
-3.0328638, 1.0844674, 2.7160306, -0.0921340
-3.1441652, 1.2489692, 2.7444316, -0.0896797
-3.2462819, 1.4190319, 2.7760922, -0.0876873
-3.3395301, 1.5947665, 2.8090373, -0.0861473
-3.4231940, 1.7743997, 2.8458351, -0.0851633
-3.4977390, 1.9586025, 2.8829701, -0.0846336
-3.5626951, 2.1461030, 2.9210315, -0.0846203
-3.6180335, 2.3367667, 2.9588337, -0.0850731
-3.6635411, 2.5301025, 2.9963914, -0.0859226
-3.6989328, 2.7252969, 3.0322972, -0.0871783
-3.7240689, 2.9224861, 3.0676632, -0.0886849
-3.7385857, 3.1201377, 3.0995282, -0.0904096
-3.7423266, 3.3188060, 3.1304048, -0.0921633
-3.7350352, 3.5169827, 3.1575131, -0.0944201
-3.7164608, 3.7147173, 3.1824694, -0.0937502
-3.6867833, 3.9110014, 3.2041458, -0.0887747
-3.6466499, 4.1053953, 3.2224723, -0.0839917
-3.5966860, 4.2976660, 3.2383682, -0.0792772
-3.5376590, 4.4871083, 3.2499427, -0.0752643
-3.4699935, 4.6739706, 3.2600644, -0.0718223
-3.3943993, 4.8574948, 3.2653186, -0.0688240
-3.3111988, 5.0378594, 3.2698079, -0.0663079
-3.2208412, 5.2147886, 3.2698529, -0.0641793
-3.1237740, 5.3879750, 3.2691952, -0.0624858
-3.0201279, 5.5575951, 3.2657918, -0.0610111
-2.9104209, 5.7231282, 3.2609583, -0.0598300
-2.7947840, 5.8846510, 3.2536413, -0.0587686
-2.6733669, 6.0421474, 3.2431851, -0.0576918
-2.5470277, 6.1947585, 3.2301692, -0.0566806
-2.4146802, 6.3439577, 3.2112560, -0.0551191
-2.2789257, 6.4871369, 3.1901650, -0.0536006
-2.1367303, 6.6277650, 3.1599546, -0.0508630
-1.9914930, 6.7628369, 3.1253459, -0.0477238
-1.8427242, 6.8934582, 3.0837130, -0.0434805
-1.6892744, 7.0212391, 3.0316414, -0.0384382
-1.5344719, 7.1442068, 2.9726868, -0.0331590
-1.3770852, 7.2641945, 2.9035530, -0.0288085
-1.2168193, 7.3818594, 2.8219421, -0.0339268
-1.0554344, 7.4952655, 2.7327266, -0.0586625
-0.8894382, 7.6033741, 2.6368668, -0.1059595
-0.7170491, 7.6998002, 2.5353822, -0.1904999
-0.5356683, 7.7756673, 2.4144245, -0.2538644
-0.3405483, 7.8234929, 2.2951179, -0.2988292
-0.1434106, 7.8345787, 2.2192605, -0.3180348
0.0540304, 7.8061535, 2.1213210, -0.3418092
0.2398271, 7.7365155, 1.9999118, -0.3667763
0.4048686, 7.6263368, 1.9222146, -0.3754477
0.5388241, 7.4806512, 1.8594143, -0.3987131
